,code,trade_dt,close
57789,CI005022,2015-03-19,10521.7385
57790,CI005023,2015-03-19,6581.5474
57791,CI005024,2015-03-19,2489.0166
57792,CI005025,2015-03-19,4553.1727
57793,CI005026,2015-03-19,4296.3257
57794,CI005027,2015-03-19,7257.7352
57795,CI005028,2015-03-19,6357.2622
57796,CI005029,2015-03-19,5303.8471
57797,CI005001,2015-03-20,2695.0634
57798,CI005002,2015-03-20,1972.764
57799,CI005003,2015-03-20,5441.6249
57800,CI005004,2015-03-20,3464.6074
57801,CI005005,2015-03-20,2161.9547
57802,CI005006,2015-03-20,4740.44
57803,CI005007,2015-03-20,4747.6449
57804,CI005008,2015-03-20,5349.6994
57805,CI005009,2015-03-20,3550.4065
57806,CI005010,2015-03-20,6396.6202
57807,CI005011,2015-03-20,6260.2271
57808,CI005012,2015-03-20,8669.14
57809,CI005013,2015-03-20,6684.6079
57810,CI005014,2015-03-20,6472.5504
57811,CI005015,2015-03-20,6277.936
57812,CI005016,2015-03-20,7510.8826
57813,CI005017,2015-03-20,4294.6346
57814,CI005018,2015-03-20,8968.1058
57815,CI005019,2015-03-20,7338.1514
57816,CI005020,2015-03-20,5193.1754
57817,CI005021,2015-03-20,5615.0459
57818,CI005022,2015-03-20,11069.7909
57819,CI005023,2015-03-20,6728.066
57820,CI005024,2015-03-20,2484.8886
57821,CI005025,2015-03-20,4598.7504
57822,CI005026,2015-03-20,4384.4374
57823,CI005027,2015-03-20,7554.8987
57824,CI005028,2015-03-20,6441.9644
57825,CI005029,2015-03-20,5384.5798
57826,CI005001,2015-03-23,2730.6527
57827,CI005002,2015-03-23,2011.7065
57828,CI005003,2015-03-23,5603.3867
57829,CI005004,2015-03-23,3567.0486
57830,CI005005,2015-03-23,2221.3293
57831,CI005006,2015-03-23,4831.9317
57832,CI005007,2015-03-23,4941.8643
57833,CI005008,2015-03-23,5464.6968
57834,CI005009,2015-03-23,3667.1779
57835,CI005010,2015-03-23,6543.6121
57836,CI005011,2015-03-23,6432.9984
57837,CI005012,2015-03-23,8733.2958
57838,CI005013,2015-03-23,6845.3377
57839,CI005014,2015-03-23,6638.331
57840,CI005015,2015-03-23,6650.9481
57841,CI005016,2015-03-23,7660.4779
57842,CI005017,2015-03-23,4426.515
57843,CI005018,2015-03-23,9156.2277
57844,CI005019,2015-03-23,7486.0923
57845,CI005020,2015-03-23,5299.9616
57846,CI005021,2015-03-23,5683.8331
57847,CI005022,2015-03-23,11215.206
57848,CI005023,2015-03-23,6888.3911
57849,CI005024,2015-03-23,2537.1797
57850,CI005025,2015-03-23,4721.7868
57851,CI005026,2015-03-23,4575.1027
57852,CI005027,2015-03-23,8021.0476
57853,CI005028,2015-03-23,6671.9838
57854,CI005029,2015-03-23,5527.5178
57855,CI005001,2015-03-24,2703.6378
57856,CI005002,2015-03-24,1997.3333
57857,CI005003,2015-03-24,5679.5503
57858,CI005004,2015-03-24,3588.2296
57859,CI005005,2015-03-24,2297.3456
57860,CI005006,2015-03-24,4850.5844
57861,CI005007,2015-03-24,5013.4463
57862,CI005008,2015-03-24,5454.3844
57863,CI005009,2015-03-24,3689.793
57864,CI005010,2015-03-24,6576.1043
57865,CI005011,2015-03-24,6493.4392
57866,CI005012,2015-03-24,8796.3309
57867,CI005013,2015-03-24,6892.5497
57868,CI005014,2015-03-24,6734.0216
57869,CI005015,2015-03-24,6793.4242
57870,CI005016,2015-03-24,7628.0753
57871,CI005017,2015-03-24,4430.9157
57872,CI005018,2015-03-24,9226.8475
57873,CI005019,2015-03-24,7475.8217
57874,CI005020,2015-03-24,5325.044
57875,CI005021,2015-03-24,5642.0273
57876,CI005022,2015-03-24,10971.6361
57877,CI005023,2015-03-24,6869.5425
57878,CI005024,2015-03-24,2596.998
57879,CI005025,2015-03-24,4732.9888
57880,CI005026,2015-03-24,4693.3985
57881,CI005027,2015-03-24,8359.3833
57882,CI005028,2015-03-24,6791.8248
57883,CI005029,2015-03-24,5475.6225
57884,CI005001,2015-03-25,2702.3378
57885,CI005002,2015-03-25,1984.2718
57886,CI005003,2015-03-25,5624.3124
57887,CI005004,2015-03-25,3568.9246
57888,CI005005,2015-03-25,2255.7813
57889,CI005006,2015-03-25,4907.2906
57890,CI005007,2015-03-25,5042.798
57891,CI005008,2015-03-25,5480.6877
57892,CI005009,2015-03-25,3700.5437
57893,CI005010,2015-03-25,6742.7594
57894,CI005011,2015-03-25,6592.1589
57895,CI005012,2015-03-25,8850.8819
57896,CI005013,2015-03-25,6988.9044
57897,CI005014,2015-03-25,6830.8728
57898,CI005015,2015-03-25,6950.7777
57899,CI005016,2015-03-25,7681.8289
57900,CI005017,2015-03-25,4488.3635
57901,CI005018,2015-03-25,9371.5007
57902,CI005019,2015-03-25,7503.444
57903,CI005020,2015-03-25,5455.8433
57904,CI005021,2015-03-25,5485.6513
57905,CI005022,2015-03-25,10829.9755
57906,CI005023,2015-03-25,6852.4768
57907,CI005024,2015-03-25,2575.8997
57908,CI005025,2015-03-25,4821.9852
57909,CI005026,2015-03-25,4733.4334
57910,CI005027,2015-03-25,8404.9881
57911,CI005028,2015-03-25,6805.161
57912,CI005029,2015-03-25,5451.911
57913,CI005001,2015-03-26,2784.491
57914,CI005002,2015-03-26,2003.8465
57915,CI005003,2015-03-26,5626.6984
57916,CI005004,2015-03-26,3533.9001
57917,CI005005,2015-03-26,2246.4314
57918,CI005006,2015-03-26,4880.7903
57919,CI005007,2015-03-26,4976.2562
57920,CI005008,2015-03-26,5484.1927
57921,CI005009,2015-03-26,3636.3293
57922,CI005010,2015-03-26,6882.7662
57923,CI005011,2015-03-26,6510.5651
57924,CI005012,2015-03-26,9089.1575
57925,CI005013,2015-03-26,6931.9501
57926,CI005014,2015-03-26,6781.8785
57927,CI005015,2015-03-26,6802.8842
57928,CI005016,2015-03-26,7602.7146
57929,CI005017,2015-03-26,4464.066
57930,CI005018,2015-03-26,9206.3362
57931,CI005019,2015-03-26,7674.6448
57932,CI005020,2015-03-26,5465.2672
57933,CI005021,2015-03-26,5523.8369
57934,CI005022,2015-03-26,10879.8561
57935,CI005023,2015-03-26,6840.9295
57936,CI005024,2015-03-26,2546.45
57937,CI005025,2015-03-26,4717.5927
57938,CI005026,2015-03-26,4558.2184
57939,CI005027,2015-03-26,7948.6144
57940,CI005028,2015-03-26,6524.7893
57941,CI005029,2015-03-26,5487.1745
57942,CI005001,2015-03-27,2778.5712
57943,CI005002,2015-03-27,2017.6815
57944,CI005003,2015-03-27,5663.6266
57945,CI005004,2015-03-27,3557.6094
57946,CI005005,2015-03-27,2249.3121
57947,CI005006,2015-03-27,4927.6603
